"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",300,400,"Feeding"
"2",900,400,"Feeding"
"3",113,400,"Feeding"
"5",300,61,"Feeding"
"6",300,500,"Feeding"
"7",400,500,"Feeding"
"8",61,500,"Feeding"
"10",66,500,"Feeding"
"11",68,500,"Feeding"
"12",300,66,"Feeding"
"13",300,68,"Feeding"
"14",141,600,"Feeding"
"15",143,600,"Feeding"
"16",144,600,"Feeding"
"17",145,600,"Feeding"
"18",146,600,"Feeding"
"19",147,600,"Feeding"
"20",148,600,"Feeding"
"21",151,600,"Feeding"
"22",154,600,"Feeding"
"23",155,600,"Feeding"
"24",157,600,"Feeding"
"25",158,600,"Feeding"
"26",159,600,"Feeding"
"27",161,600,"Feeding"
"28",163,600,"Feeding"
"29",164,600,"Feeding"
"30",168,600,"Feeding"
"31",169,600,"Feeding"
"32",170,600,"Feeding"
"33",172,600,"Feeding"
"34",173,600,"Feeding"
"35",174,600,"Feeding"
"36",175,600,"Feeding"
"37",176,600,"Feeding"
"38",177,600,"Feeding"
"39",178,600,"Feeding"
"40",181,600,"Feeding"
"41",182,600,"Feeding"
"42",183,600,"Feeding"
"43",187,600,"Feeding"
"44",189,600,"Feeding"
"45",190,600,"Feeding"
"46",194,600,"Feeding"
"47",197,600,"Feeding"
"48",198,600,"Feeding"
"49",201,600,"Feeding"
"50",202,600,"Feeding"
"51",204,600,"Feeding"
"52",205,600,"Feeding"
"53",207,600,"Feeding"
"54",208,600,"Feeding"
"55",209,600,"Feeding"
"56",210,600,"Feeding"
"57",118,600,"Feeding"
"58",900,600,"Feeding"
"59",300,600,"Feeding"
"60",300,700,"Feeding"
"62",700,600,"Feeding"
"63",300,111,"Feeding"
"64",300,112,"Feeding"
"65",400,112,"Feeding"
"66",61,112,"Feeding"
"67",500,112,"Feeding"
"68",66,112,"Feeding"
"69",68,112,"Feeding"
"70",700,112,"Feeding"
"71",300,113,"Feeding"
"72",400,113,"Feeding"
"73",61,113,"Feeding"
"74",500,113,"Feeding"
"75",66,113,"Feeding"
"76",68,113,"Feeding"
"77",600,113,"Feeding"
"78",300,114,"Feeding"
"79",400,114,"Feeding"
"80",61,114,"Feeding"
"81",500,114,"Feeding"
"82",66,114,"Feeding"
"83",68,114,"Feeding"
"84",700,114,"Feeding"
"85",600,114,"Feeding"
"86",113,114,"Feeding"
"87",115,114,"Feeding"
"88",300,115,"Feeding"
"89",400,900,"Feeding"
"90",700,900,"Feeding"
"91",113,900,"Feeding"
"92",114,900,"Feeding"
"94",300,118,"Feeding"
"95",400,118,"Feeding"
"96",61,118,"Feeding"
"97",500,118,"Feeding"
"98",66,118,"Feeding"
"99",68,118,"Feeding"
"100",700,118,"Feeding"
"101",61,900,"Feeding"
"102",500,900,"Feeding"
"103",66,900,"Feeding"
"104",68,900,"Feeding"
"105",600,900,"Feeding"
"106",400,120,"Feeding"
"107",700,120,"Feeding"
"108",300,900,"Feeding"
"109",111,900,"Feeding"
"110",112,900,"Feeding"
"111",115,900,"Feeding"
"112",120,900,"Feeding"
"113",400,125,"Feeding"
"114",500,125,"Feeding"
"115",68,125,"Feeding"
"116",700,125,"Feeding"
"117",111,125,"Feeding"
"118",112,125,"Feeding"
"119",113,125,"Feeding"
"120",114,125,"Feeding"
"121",115,125,"Feeding"
"122",900,125,"Feeding"
"123",120,125,"Feeding"
"124",400,132,"Feeding"
"125",700,132,"Feeding"
"126",113,132,"Feeding"
"127",114,132,"Feeding"
"128",900,132,"Feeding"
"129",120,132,"Feeding"
"130",125,132,"Feeding"
"132",400,139,"Feeding"
"133",500,139,"Feeding"
"134",68,139,"Feeding"
"135",111,139,"Feeding"
