"","SpeciesID","all.biomass","OrganismType","NodeColor","NodeShape","NodeName","TrophicLevel","Description","ImageFile","Caption","ImageSource","ImageLiscence","X","X.1","X.2"
"1",5,475.33333,"Plant","Bright Green-14","Circle","Salt Grass",1.00000000000001,"Salt grass is a species of grass that grows in salt marshes.","salt-grass.jpg","Salt Grass.","rkshiningtiger","Free to copy and adapt with credit","","",""
"2",6,296.72,"Plant","Bright Green-14","Circle","Epipelic flora",0.999999999999998,"Epipelic flora includes plants that live in mud at the edge of water and land.","","","","","","",""
"3",7,900,"Plant","Bright Green-14","Circle","Alkali Heath",1,"Alkali Heath is a short, wood plant that grows in salt marshes.","heath.jpg","Close up of Alkali Heath.","USFWS Pacific Southwest Region","Free to copy and adapt with credit","","",""
"4",8,4488.6667,"Plant","Bright Green-14","Circle","Fleshy Jaumea",0.999999999999994,"Fleshy Jaumea is a succulent species native to the western coast of North America.","fleshy-j.jpg","Close up of Fleshy Jaumea.","Franco Folini","Free to copy and adapt with credit","","",""
"5",9,120.66667,"Plant","Bright Green-14","Circle","California Sea Lavender",1,"California Sea Lavendar is a speces of ea lavender that's native to western North America.","ca-lav.jpg","Close up of California Sea Lavender. ","jodylehigh at Pixabay","Free for commercial use","","",""
"6",10,256.49524,"Plant","Bright Green-14","Circle","macroalgae",1.00000000000001,"Macroalgae, also known as seaweed, includes many species of large, multicelluarl marine algae. ","macro.jpg","Red Estuarine macroalgae in a dish.","Raquel Sanchez de Pedro","Free to copy and adapt with credit","","",""
"7",11,1272,"Plant","Bright Green-14","Circle","Shore Grass",0.999999999999998,"Shore Grass is a species of frass that grows along shorelines and in salt marshes.","shore-grass.jpg","Shore Grass in front of water.","AnnaER at Pixabay","Free for commercial use","","",""
"8",12,1527.7309,"Plankton","Light Yellow-15","Circle","Phytoplankton",1,"Phytoplankton are plankton consisting of microscopic plants.","phyto.jpg","Microscope image of one type of phytoplankton.","NEON ja","Free to copy and adapt with credit","","",""
"9",16,38428.267,"Plant","Bright Green-14","Circle","Pickleweed",1.00000000000001,"Pickleweed is a type of succulent plant that is very common salt marshes.","pickle.jpg","Close up of Pickleweed.","Olivier","Free to copy and adapt with credit","","",""
"10",21,0.1433138,"Plankton","Light Yellow-15","Circle","Foraminiferan",2,"Foraminiferan is plankton consisting of tiny, single-celled animals.","zoo.jpg","A microscopic, labeled image of zooplankton.","Adriana Zingone, Domenico D'Alelio, Maria Grazia Mazzocchi, Marina Montresor, Diana Sarno, LTER-MC team","Free to copy and adapt with credit","","",""
"11",25,2.6102455,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Capitella capitata",1.99999999999999,"Capitella capitata is a type of segmented worm.","capitella.jpg","Capitella capitata","EcologyWA","Free to copy and adapt with credit","","",""
"12",35,4.150018008,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Oligochaeta",0.999999999999994,"Oligochaeta are the large subclass fo worms known as Earth worms.","Oligochaeta.jpg","One species of Oligochaeta.","Erin Hayes-Pontius","Free to copy and adapt with credit","","",""
"13",44,1.6343817,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Polydora nuchalis",2,"Polydora nuchalis is a type of worm.","Oligochaeta.jpg","One type of worm","Erin Hayes-Pontius","Free to copy and adapt with credit","","",""
"14",47,NA,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Glossiphoniidae, leech",4.29474484012872,"Glossiphoniidae is a family of leeches that are most common in fresh water.","leech.png","Microscope image of one type of leech.","Krittiya Chiangkul, Poramad Tricalairat and Watchariya Purivirojkul","Free to copy and adapt with credit","","",""
"15",50,6.143874555,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Carcinonemertes",4.04805725971372,"Carcinonemertes is a family of ribbon worms.","Carcinonemertes.jpeg","Microscopic image of a Carcinonemertes.","Christian Ferrer","Free to copy and adapt with credit","","",""
"16",51,0.1062877,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Carcinoma mutabilis",2.66666666666666,"Carcinoma mutabilis is a species of ribbon worm.","Carcinonemertes.jpeg","Microscopic image of a Carcinonemertes.","Christian Ferrer","Free to copy and adapt with credit","","",""
"17",53,0.0245069,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Nemertean",2.66666666666665,"Nemertean is a phylum of ribbon worms.","nemeterea.jpg","Nemeterea in a jar of water.","Rob Growler","Free to copy and adapt with credit","","",""
"18",61,0.0001898,"Molluscs","Dark Teal-2","Circle","California Softshell Clam",2.00000000000002,"The California Softshell Clam is one of many softshell clam species. It is vulnerable to ocean acidification, which is the decrease in the ocean's pH as it uptakes carbon dioxide.","softshell-ca.jpg","Mya arenaria, a different, but similar species of softshell clam.","Georges Jansoone","Free to copy and adapt with credit","","",""
"19",64,0.0080906,"Molluscs","Dark Teal-2","Circle","Bent-nosed Clam",2,"Bent-nosed clams are a species of saltwater clams that are vulnerable to ocean acidification.","softshell-ca.jpg","Mya arenaria, a different, but similar species of softshell clam.","Georges Jansoone","Free to copy and adapt with credit","","",""
"20",65,210.72214,"Molluscs","Dark Teal-2","Circle","White Sand Macoma",2.920245398773,"White Sant Macoma are a species of saltwater clams that are vulnerable to ocean acidification.","softshell-ca.jpg","Mya arenaria, a different, but similar species of softshell clam.","Georges Jansoone","Free to copy and adapt with credit","","",""
"21",66,0.000352,"Molluscs","Dark Teal-2","Circle","Blue Mussel",2,"The Blue Mussel is a medium-sized, edible mussel. It is vulnerable to ocean acidification and pollution.","b-mussel.jpg","Clusters of blue mussels in shallow water.","Andreas Trepte","Free to copy and adapt with credit","","",""
"22",67,45.118247,"Molluscs","Dark Teal-2","Circle","California Mahogany Clam",2.92024539877301,"California Mahogany Clams are a species of saltwater clams.","","","","","","",""
